"V1","V2"
"KIAA1109","OTOP1"
"KIAA1109","ANKRD12"
"KIAA1109","ZNF273"
"KIAA1109","FAAP100"
"KIAA1109","FCGBP"
"OTOP1","ANKRD12"
"OTOP1","ZNF273"
"OTOP1","FAAP100"
"OTOP1","FCGBP"
"ANKRD12","ZNF273"
"ANKRD12","FAAP100"
"ANKRD12","FCGBP"
"ZNF273","FAAP100"
"ZNF273","FCGBP"
"FAAP100","FCGBP"
"AGRN","DIP2A"
"AGRN","HSPG2"
"AGRN","LEFTY2"
"AGRN","NOTCH4"
"AGRN","SMTN"
"AGRN","TOR2A"
"AGRN","LILRA1"
"AGRN","LOXL3"
"AGRN","LRP2"
"AGRN","NAT8B"
"AGRN","LBP"
"AGRN","TNXB"
"AGRN","VCAN"
"AGRN","CDH23"
"AGRN","CES5A"
"AGRN","MYBPC2"
"AGRN","C2CD3"
"AGRN","CFB"
"AGRN","COL15A1"
"AGRN","LAMA2"
"AGRN","CHIT1"
"AGRN","SIGLEC12"
"AGRN","TNC"
"AGRN","CDH3"
"AGRN","COL13A1"
"AGRN","COLQ"
"AGRN","LAMA5"
"AGRN","LAMB2"
"AGRN","LRP4"
"AGRN","USH2A"
"AGRN","PSG5"
"DIP2A","HSPG2"
"DIP2A","LEFTY2"
"DIP2A","NOTCH4"
"DIP2A","SMTN"
"DIP2A","TOR2A"
"DIP2A","LILRA1"
"DIP2A","LOXL3"
"DIP2A","LRP2"
"DIP2A","NAT8B"
"DIP2A","LBP"
"DIP2A","TNXB"
"DIP2A","VCAN"
"DIP2A","CDH23"
"DIP2A","CES5A"
"DIP2A","MYBPC2"
"DIP2A","C2CD3"
"DIP2A","CFB"
"DIP2A","COL15A1"
"DIP2A","LAMA2"
"DIP2A","CHIT1"
"DIP2A","SIGLEC12"
"DIP2A","TNC"
"DIP2A","CDH3"
"DIP2A","COL13A1"
"DIP2A","COLQ"
"DIP2A","LAMA5"
"DIP2A","LAMB2"
"DIP2A","LRP4"
"DIP2A","USH2A"
"DIP2A","PSG5"
"HSPG2","LEFTY2"
"HSPG2","NOTCH4"
"HSPG2","SMTN"
"HSPG2","TOR2A"
"HSPG2","LILRA1"
"HSPG2","LOXL3"
"HSPG2","LRP2"
"HSPG2","NAT8B"
"HSPG2","LBP"
"HSPG2","TNXB"
"HSPG2","VCAN"
"HSPG2","CDH23"
"HSPG2","CES5A"
"HSPG2","MYBPC2"
"HSPG2","C2CD3"
"HSPG2","CFB"
"HSPG2","COL15A1"
"HSPG2","LAMA2"
"HSPG2","CHIT1"
"HSPG2","SIGLEC12"
"HSPG2","TNC"
"HSPG2","CDH3"
"HSPG2","COL13A1"
"HSPG2","COLQ"
"HSPG2","LAMA5"
"HSPG2","LAMB2"
"HSPG2","LRP4"
"HSPG2","USH2A"
"HSPG2","PSG5"
"LEFTY2","NOTCH4"
"LEFTY2","SMTN"
"LEFTY2","TOR2A"
"LEFTY2","LILRA1"
"LEFTY2","LOXL3"
"LEFTY2","LRP2"
"LEFTY2","NAT8B"
"LEFTY2","LBP"
"LEFTY2","TNXB"
"LEFTY2","VCAN"
"LEFTY2","CDH23"
"LEFTY2","CES5A"
"LEFTY2","MYBPC2"
"LEFTY2","C2CD3"
"LEFTY2","CFB"
"LEFTY2","COL15A1"
"LEFTY2","LAMA2"
"LEFTY2","CHIT1"
"LEFTY2","SIGLEC12"
"LEFTY2","TNC"
"LEFTY2","CDH3"
"LEFTY2","COL13A1"
"LEFTY2","COLQ"
"LEFTY2","LAMA5"
"LEFTY2","LAMB2"
"LEFTY2","LRP4"
"LEFTY2","USH2A"
"LEFTY2","PSG5"
"NOTCH4","SMTN"
"NOTCH4","TOR2A"
"NOTCH4","LILRA1"
"NOTCH4","LOXL3"
"NOTCH4","LRP2"
"NOTCH4","NAT8B"
"NOTCH4","LBP"
"NOTCH4","TNXB"
"NOTCH4","VCAN"
"NOTCH4","CDH23"
"NOTCH4","CES5A"
"NOTCH4","MYBPC2"
"NOTCH4","C2CD3"
"NOTCH4","CFB"
"NOTCH4","COL15A1"
"NOTCH4","LAMA2"
"NOTCH4","CHIT1"
"NOTCH4","SIGLEC12"
"NOTCH4","TNC"
"NOTCH4","CDH3"
"NOTCH4","COL13A1"
"NOTCH4","COLQ"
"NOTCH4","LAMA5"
"NOTCH4","LAMB2"
"NOTCH4","LRP4"
"NOTCH4","USH2A"
"NOTCH4","PSG5"
"SMTN","TOR2A"
"SMTN","LILRA1"
"SMTN","LOXL3"
"SMTN","LRP2"
"SMTN","NAT8B"
"SMTN","LBP"
"SMTN","TNXB"
"SMTN","VCAN"
"SMTN","CDH23"
"SMTN","CES5A"
"SMTN","MYBPC2"
"SMTN","C2CD3"
"SMTN","CFB"
"SMTN","COL15A1"
"SMTN","LAMA2"
"SMTN","CHIT1"
"SMTN","SIGLEC12"
"SMTN","TNC"
"SMTN","CDH3"
"SMTN","COL13A1"
"SMTN","COLQ"
"SMTN","LAMA5"
"SMTN","LAMB2"
"SMTN","LRP4"
"SMTN","USH2A"
"SMTN","PSG5"
"TOR2A","LILRA1"
"TOR2A","LOXL3"
"TOR2A","LRP2"
"TOR2A","NAT8B"
"TOR2A","LBP"
"TOR2A","TNXB"
"TOR2A","VCAN"
"TOR2A","CDH23"
"TOR2A","CES5A"
"TOR2A","MYBPC2"
"TOR2A","C2CD3"
"TOR2A","CFB"
"TOR2A","COL15A1"
"TOR2A","LAMA2"
"TOR2A","CHIT1"
"TOR2A","SIGLEC12"
"TOR2A","TNC"
"TOR2A","CDH3"
"TOR2A","COL13A1"
"TOR2A","COLQ"
"TOR2A","LAMA5"
"TOR2A","LAMB2"
"TOR2A","LRP4"
"TOR2A","USH2A"
"TOR2A","PSG5"
"LILRA1","LOXL3"
"LILRA1","LRP2"
"LILRA1","NAT8B"
"LILRA1","LBP"
"LILRA1","TNXB"
"LILRA1","VCAN"
"LILRA1","CDH23"
"LILRA1","CES5A"
"LILRA1","MYBPC2"
"LILRA1","C2CD3"
"LILRA1","CFB"
"LILRA1","COL15A1"
"LILRA1","LAMA2"
"LILRA1","CHIT1"
"LILRA1","SIGLEC12"
"LILRA1","TNC"
"LILRA1","CDH3"
"LILRA1","COL13A1"
"LILRA1","COLQ"
"LILRA1","LAMA5"
"LILRA1","LAMB2"
"LILRA1","LRP4"
"LILRA1","USH2A"
"LILRA1","PSG5"
"LOXL3","LRP2"
"LOXL3","NAT8B"
"LOXL3","LBP"
"LOXL3","TNXB"
"LOXL3","VCAN"
"LOXL3","CDH23"
"LOXL3","CES5A"
"LOXL3","MYBPC2"
"LOXL3","C2CD3"
"LOXL3","CFB"
"LOXL3","COL15A1"
"LOXL3","LAMA2"
"LOXL3","CHIT1"
"LOXL3","SIGLEC12"
"LOXL3","TNC"
"LOXL3","CDH3"
"LOXL3","COL13A1"
"LOXL3","COLQ"
"LOXL3","LAMA5"
"LOXL3","LAMB2"
"LOXL3","LRP4"
"LOXL3","USH2A"
"LOXL3","PSG5"
"LRP2","NAT8B"
"LRP2","LBP"
"LRP2","TNXB"
"LRP2","VCAN"
"LRP2","CDH23"
"LRP2","CES5A"
"LRP2","MYBPC2"
"LRP2","C2CD3"
"LRP2","CFB"
"LRP2","COL15A1"
"LRP2","LAMA2"
"LRP2","CHIT1"
"LRP2","SIGLEC12"
"LRP2","TNC"
"LRP2","CDH3"
"LRP2","COL13A1"
"LRP2","COLQ"
"LRP2","LAMA5"
