"V1","V2"
"ARMC5","KRT23"
"ARMC5","ZNF343"
"ARMC5","ELP1"
"ARMC5","LARP7"
"ARMC5","LMO7"
"ARMC5","SEC16A"
"ARMC5","ALG14"
"ARMC5","DPAGT1"
"ARMC5","GFPT1"
"ARMC5","GMPPB"
"ARMC5","SLC25A1"
"ARMC5","PDPR"
"ARMC5","MRM1"
"ARMC5","MYO19"
"ARMC5","DDX52"
"ARMC5","FGGY"
"ARMC5","ANXA2R"
"ARMC5","SELENOW"
"ARMC5","ZDHHC11"
"FASN","INF2"
"FASN","FLG2"
"FASN","FYB2"
"FASN","CLTCL1"
"FASN","USP20"
"FASN","FNIP2"
"FASN","MROH2B"
"FASN","KRT23"
"FASN","ZNF343"
"FASN","ELP1"
"FASN","LARP7"
"FASN","LMO7"
"FASN","SEC16A"
"FASN","ALG14"
"FASN","DPAGT1"
"FASN","GFPT1"
"FASN","GMPPB"
"FASN","SLC25A1"
"FASN","PDPR"
"FASN","MRM1"
"FASN","MYO19"
"FASN","DDX52"
"FASN","FGGY"
"FASN","ANXA2R"
"FASN","SELENOW"
"FASN","ZDHHC11"
"INF2","FLG2"
"INF2","FYB2"
"INF2","CLTCL1"
"INF2","USP20"
"INF2","FNIP2"
"INF2","MROH2B"
"INF2","KRT23"
"INF2","ZNF343"
"INF2","ELP1"
"INF2","LARP7"
"INF2","LMO7"
"INF2","SEC16A"
"INF2","ALG14"
"INF2","DPAGT1"
"INF2","GFPT1"
"INF2","GMPPB"
"INF2","SLC25A1"
"INF2","PDPR"
"INF2","MRM1"
"INF2","MYO19"
"INF2","DDX52"
"INF2","FGGY"
"INF2","ANXA2R"
"INF2","SELENOW"
"INF2","ZDHHC11"
"FLG2","FYB2"
"FLG2","CLTCL1"
"FLG2","USP20"
"FLG2","FNIP2"
"FLG2","MROH2B"
"FLG2","KRT23"
"FLG2","ZNF343"
"FLG2","ELP1"
"FLG2","LARP7"
"FLG2","LMO7"
"FLG2","SEC16A"
"FLG2","ALG14"
"FLG2","DPAGT1"
"FLG2","GFPT1"
"FLG2","GMPPB"
"FLG2","SLC25A1"
"FLG2","PDPR"
"FLG2","MRM1"
"FLG2","MYO19"
"FLG2","DDX52"
"FLG2","FGGY"
"FLG2","ANXA2R"
"FLG2","SELENOW"
"FLG2","ZDHHC11"
"FYB2","CLTCL1"
"FYB2","USP20"
"FYB2","FNIP2"
"FYB2","MROH2B"
"FYB2","KRT23"
"FYB2","ZNF343"
"FYB2","ELP1"
"FYB2","LARP7"
"FYB2","LMO7"
"FYB2","SEC16A"
"FYB2","ALG14"
"FYB2","DPAGT1"
"FYB2","GFPT1"
"FYB2","GMPPB"
"FYB2","SLC25A1"
