"V1","V2"
"CHAT","SLC5A7"
"CHAT","PDPR"
"CHAT","CYP2A6"
"SLC5A7","PDPR"
"SLC5A7","CYP2A6"
"PDPR","CYP2A6"
"DEFB103B","DEFB104B"
"DEFB103B","DEFB105A"
"DEFB103B","DEFB106B"
"DEFB103B","DEFB107A"
"DEFB104B","DEFB105A"
"DEFB104B","DEFB106B"
"DEFB104B","DEFB107A"
"DEFB105A","DEFB106B"
"DEFB105A","DEFB107A"
"DEFB106B","DEFB107A"
"PIGW","PIGW"
"ALG14","ALG2"
"ALG14","DPAGT1"
"ALG2","DPAGT1"
"CHRNA1","CHRND"
"CHRNA1","CHRNE"
"CHRNA1","CHRNG"
"CHRND","CHRNE"
"CHRND","CHRNG"
"CHRNE","CHRNG"
"IP6K3","IP6K3"
"GMPPB","GMPPB"
