V1,V2
LAMA2,BMP1
LAMA2,ITGB1
LAMA2,COL4A2
LAMA2,COL1A2
LAMA2,COL4A3
LAMA2,FBN1
LAMA2,ITGA5
LAMA2,ITGB3
LAMA2,COL4A4
LAMA2,ELN
LAMA2,COL4A6
LAMA2,FBN2
LAMA2,TLL1
LAMA2,PCOLCE
LAMA2,MFAP5
LAMA2,FBN3
LAMA2,TLL2
LAMA2,FBLN5
LAMA2,LOX
LAMA2,LOXL4
LAMA2,LOXL1
TNC,COL13A1
TNC,LAMA5
TNC,LAMB2
TNC,LRP4
TNC,PLEC
TNC,USH2A
TNC,MFAP2
TNC,ITGB6
TNC,COL4A1
TNC,BMP1
TNC,ITGB1
TNC,COL4A2
TNC,COL1A2
TNC,COL4A3
TNC,FBN1
TNC,ITGA5
TNC,ITGB3
TNC,COL4A4
TNC,ELN
TNC,COL4A6
TNC,FBN2
TNC,TLL1
TNC,PCOLCE
TNC,MFAP5
TNC,FBN3
TNC,TLL2
TNC,FBLN5
TNC,LOX
TNC,LOXL4
TNC,LOXL1
COL13A1,LAMA5
COL13A1,LAMB2
COL13A1,LRP4
COL13A1,PLEC
COL13A1,USH2A
COL13A1,MFAP2
COL13A1,ITGB6
COL13A1,COL4A1
COL13A1,BMP1
COL13A1,ITGB1
COL13A1,COL4A2
COL13A1,COL1A2
COL13A1,COL4A3
COL13A1,FBN1
COL13A1,ITGA5
COL13A1,ITGB3
COL13A1,COL4A4
COL13A1,ELN
COL13A1,COL4A6
COL13A1,FBN2
COL13A1,TLL1
COL13A1,PCOLCE
COL13A1,MFAP5
COL13A1,FBN3
COL13A1,TLL2
COL13A1,FBLN5
COL13A1,LOX
COL13A1,LOXL4
COL13A1,LOXL1
LAMA5,LAMB2
LAMA5,LRP4
LAMA5,PLEC
LAMA5,USH2A
LAMA5,MFAP2
LAMA5,ITGB6
LAMA5,COL4A1
LAMA5,BMP1
LAMA5,ITGB1
LAMA5,COL4A2
LAMA5,COL1A2
LAMA5,COL4A3
LAMA5,FBN1
LAMA5,ITGA5
LAMA5,ITGB3
LAMA5,COL4A4
LAMA5,ELN
LAMA5,COL4A6
LAMA5,FBN2
LAMA5,TLL1
LAMA5,PCOLCE
LAMA5,MFAP5
LAMA5,FBN3
LAMA5,TLL2
LAMA5,FBLN5
LAMA5,LOX
LAMA5,LOXL4
LAMA5,LOXL1
LAMB2,LRP4
LAMB2,PLEC
LAMB2,USH2A
LAMB2,MFAP2
LAMB2,ITGB6
LAMB2,COL4A1
LAMB2,BMP1
LAMB2,ITGB1
LAMB2,COL4A2
LAMB2,COL1A2
LAMB2,COL4A3
LAMB2,FBN1
LAMB2,ITGA5
LAMB2,ITGB3
LAMB2,COL4A4
LAMB2,ELN
LAMB2,COL4A6
LAMB2,FBN2
LAMB2,TLL1
LAMB2,PCOLCE
LAMB2,MFAP5
LAMB2,FBN3
LAMB2,TLL2
LAMB2,FBLN5
LAMB2,LOX
LAMB2,LOXL4
LAMB2,LOXL1
LRP4,PLEC
LRP4,USH2A
LRP4,MFAP2
LRP4,ITGB6
LRP4,COL4A1
LRP4,BMP1
LRP4,ITGB1
LRP4,COL4A2
LRP4,COL1A2
LRP4,COL4A3
LRP4,FBN1
LRP4,ITGA5
LRP4,ITGB3
LRP4,COL4A4
LRP4,ELN
LRP4,COL4A6
LRP4,FBN2
LRP4,TLL1
LRP4,PCOLCE
LRP4,MFAP5
LRP4,FBN3
LRP4,TLL2
LRP4,FBLN5
LRP4,LOX
LRP4,LOXL4
LRP4,LOXL1
PLEC,USH2A
PLEC,MFAP2
PLEC,ITGB6
PLEC,COL4A1
PLEC,BMP1
PLEC,ITGB1
PLEC,COL4A2
PLEC,COL1A2
PLEC,COL4A3
PLEC,FBN1
PLEC,ITGA5
PLEC,ITGB3
PLEC,COL4A4
PLEC,ELN
PLEC,COL4A6
PLEC,FBN2
PLEC,TLL1
PLEC,PCOLCE
PLEC,MFAP5
PLEC,FBN3
PLEC,TLL2
PLEC,FBLN5
PLEC,LOX
PLEC,LOXL4
PLEC,LOXL1
USH2A,MFAP2
USH2A,ITGB6
USH2A,COL4A1
USH2A,BMP1
USH2A,ITGB1
USH2A,COL4A2
USH2A,COL1A2
USH2A,COL4A3
USH2A,FBN1
USH2A,ITGA5
USH2A,ITGB3
USH2A,COL4A4
USH2A,ELN
USH2A,COL4A6
USH2A,FBN2
USH2A,TLL1
USH2A,PCOLCE
USH2A,MFAP5
USH2A,FBN3
USH2A,TLL2
USH2A,FBLN5
USH2A,LOX
USH2A,LOXL4
USH2A,LOXL1
MFAP2,ITGB6
MFAP2,COL4A1
MFAP2,BMP1
MFAP2,ITGB1
MFAP2,COL4A2
MFAP2,COL1A2
MFAP2,COL4A3
MFAP2,FBN1
MFAP2,ITGA5
MFAP2,ITGB3
MFAP2,COL4A4
MFAP2,ELN
MFAP2,COL4A6
MFAP2,FBN2
MFAP2,TLL1
MFAP2,PCOLCE
MFAP2,MFAP5
MFAP2,FBN3
MFAP2,TLL2
MFAP2,FBLN5
MFAP2,LOX
MFAP2,LOXL4
MFAP2,LOXL1
ITGB6,COL4A1
ITGB6,BMP1
ITGB6,ITGB1
ITGB6,COL4A2
ITGB6,COL1A2
ITGB6,COL4A3
ITGB6,FBN1
ITGB6,ITGA5
ITGB6,ITGB3
ITGB6,COL4A4
ITGB6,ELN
ITGB6,COL4A6
ITGB6,FBN2
ITGB6,TLL1
ITGB6,PCOLCE
ITGB6,MFAP5
ITGB6,FBN3
ITGB6,TLL2
ITGB6,FBLN5
ITGB6,LOX
ITGB6,LOXL4
ITGB6,LOXL1
COL4A1,BMP1
COL4A1,ITGB1
COL4A1,COL4A2
COL4A1,COL1A2
COL4A1,COL4A3
COL4A1,FBN1
COL4A1,ITGA5
COL4A1,ITGB3
COL4A1,COL4A4
COL4A1,ELN
COL4A1,COL4A6
COL4A1,FBN2
COL4A1,TLL1
COL4A1,PCOLCE
COL4A1,MFAP5
COL4A1,FBN3
COL4A1,TLL2
COL4A1,FBLN5
COL4A1,LOX
COL4A1,LOXL4
COL4A1,LOXL1
BMP1,ITGB1
BMP1,COL4A2
BMP1,COL1A2
BMP1,COL4A3
BMP1,FBN1
BMP1,ITGA5
BMP1,ITGB3
BMP1,COL4A4
BMP1,ELN
BMP1,COL4A6
BMP1,FBN2
BMP1,TLL1
BMP1,PCOLCE
BMP1,MFAP5
BMP1,FBN3
BMP1,TLL2
BMP1,FBLN5
BMP1,LOX
BMP1,LOXL4
BMP1,LOXL1
ITGB1,COL4A2
ITGB1,COL1A2
ITGB1,COL4A3
ITGB1,FBN1
ITGB1,ITGA5
ITGB1,ITGB3
ITGB1,COL4A4
ITGB1,ELN
ITGB1,COL4A6
ITGB1,FBN2
ITGB1,TLL1
ITGB1,PCOLCE
ITGB1,MFAP5
ITGB1,FBN3
ITGB1,TLL2
ITGB1,FBLN5
ITGB1,LOX
ITGB1,LOXL4
ITGB1,LOXL1
COL4A2,COL1A2
COL4A2,COL4A3
COL4A2,FBN1
COL4A2,ITGA5
COL4A2,ITGB3
COL4A2,COL4A4
COL4A2,ELN
COL4A2,COL4A6
COL4A2,FBN2
COL4A2,TLL1
COL4A2,PCOLCE
COL4A2,MFAP5
COL4A2,FBN3
COL4A2,TLL2
COL4A2,FBLN5
COL4A2,LOX
COL4A2,LOXL4
COL4A2,LOXL1
COL1A2,COL4A3
COL1A2,FBN1
COL1A2,ITGA5
COL1A2,ITGB3
COL1A2,COL4A4
COL1A2,ELN
COL1A2,COL4A6
COL1A2,FBN2
COL1A2,TLL1
COL1A2,PCOLCE
COL1A2,MFAP5
COL1A2,FBN3
COL1A2,TLL2
COL1A2,FBLN5
COL1A2,LOX
COL1A2,LOXL4
COL1A2,LOXL1
COL4A3,FBN1
COL4A3,ITGA5
COL4A3,ITGB3
COL4A3,COL4A4
COL4A3,ELN
COL4A3,COL4A6
COL4A3,FBN2
COL4A3,TLL1
COL4A3,PCOLCE
COL4A3,MFAP5
COL4A3,FBN3
COL4A3,TLL2
COL4A3,FBLN5
COL4A3,LOX
COL4A3,LOXL4
COL4A3,LOXL1
FBN1,ITGA5
FBN1,ITGB3
FBN1,COL4A4
FBN1,ELN
FBN1,COL4A6
FBN1,FBN2
FBN1,TLL1
FBN1,PCOLCE
FBN1,MFAP5
FBN1,FBN3
FBN1,TLL2
FBN1,FBLN5
FBN1,LOX
FBN1,LOXL4
FBN1,LOXL1
ITGA5,ITGB3
ITGA5,COL4A4
ITGA5,ELN
ITGA5,COL4A6
ITGA5,FBN2
ITGA5,TLL1
ITGA5,PCOLCE
ITGA5,MFAP5
ITGA5,FBN3
ITGA5,TLL2
ITGA5,FBLN5
ITGA5,LOX
ITGA5,LOXL4
ITGA5,LOXL1
ITGB3,COL4A4
ITGB3,ELN
ITGB3,COL4A6
ITGB3,FBN2
ITGB3,TLL1
ITGB3,PCOLCE
ITGB3,MFAP5
ITGB3,FBN3
ITGB3,TLL2
ITGB3,FBLN5
ITGB3,LOX
ITGB3,LOXL4
ITGB3,LOXL1
COL4A4,ELN
COL4A4,COL4A6
COL4A4,FBN2
COL4A4,TLL1
COL4A4,PCOLCE
COL4A4,MFAP5
COL4A4,FBN3
COL4A4,TLL2
COL4A4,FBLN5
COL4A4,LOX
COL4A4,LOXL4
COL4A4,LOXL1
ELN,COL4A6
ELN,FBN2
