"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"2","5","5","34","52","216","397","418","568","C0001925"
"2","3","5","73","110","155","384","263","348","C0001925"
"2","5","7","53","14","20","25","40","186","C0001925"
"2","5","7","53","170","335","25","560","373","C0001925"
"2","3","7","53","51","342","454","573","492","C0001925"
"2","3","2","95","151","160","378","173","229","C0001925"
"2","3","5","80","81","166","397","418","568","C0001925"
"2","3","12","53","14","20","25","40","186","C0001925"
"2","5","7","53","51","335","25","560","373","C0001925"
"2","3","5","53","175","119","167","489","416","C0001925"
"2","5","7","53","51","342","454","573","416","C0001925"
"2","3","12","41","219","339","156","568","697","C0001925"
"2","3","5","43","161","305","409","208","482","C0001925"
"2","5","7","53","14","20","25","40","186","C0001925"
"2","5","7","34","52","216","395","549","674","C0001925"
"2","5","4","68","96","326","427","548","672","C0001925"
"2","5","7","60","14","20","25","40","215","C0001925"
"2","5","7","60","14","20","25","40","215","C0001925"
"2","5","12","41","219","339","156","568","697","C0001925"
"2","5","4","68","96","326","427","548","672","C0001925"
"2","5","4","68","96","326","427","548","672","C0001956"
"2","3","5","80","81","166","307","258","345","C0001956"
"2","3","2","75","120","200","263","251","40","C0001956"
"2","5","7","27","36","150","341","223","628","C0001956"
"2","3","2","67","118","160","261","188","423","C0001956"
"2","5","8","27","70","99","162","216","290","C0001956"
"2","5","7","53","51","342","454","573","492","C0001956"
"2","3","12","19","31","261","116","1","86","C0001956"
"2","5","4","68","96","326","427","548","672","C0001956"
"2","3","12","41","219","339","347","271","356","C0001956"
"2","3","12","76","31","261","116","1","86","C0001956"
"2","3","2","22","33","323","66","101","136","C0001956"
"2","5","4","68","96","326","427","548","672","C0001957"
"2","3","3","19","151","276","91","433","118","C0001957"
"2","3","2","48","57","110","141","359","462","C0002018"
"2","5","7","53","51","119","395","549","674","C0002018"
"2","5","7","34","52","216","395","549","667","C0002018"
"2","3","7","27","36","150","341","223","628","C0002018"
"2","3","7","34","52","216","395","536","445","C0002018"
"2","5","7","34","52","216","395","549","674","C0002018"
"2","3","3","41","151","276","378","271","356","C0002063"
"2","5","4","68","96","326","427","548","672","C0002063"
"2","3","8","84","97","167","210","278","360","C0002064"
"2","3","5","35","41","77","40","526","647","C0002064"
"2","3","2","48","97","50","304","167","593","C0002064"
"2","3","2","84","97","167","210","278","360","C0002064"
"2","3","8","84","97","167","210","271","536","C0002064"
"2","5","5","27","51","335","444","560","373","C0002171"
"2","5","7","53","14","20","25","40","186","C0002171"
"2","3","3","19","119","330","214","454","144","C0002171"
"2","3","12","19","31","1","426","55","78","C0002171"
"2","3","7","60","153","40","202","66","203","C0002171"
"2","5","4","68","96","326","427","548","672","C0002171"
"2","5","4","68","96","326","427","548","672","C0002171"
"2","5","7","53","51","119","395","549","674","C0002171"
"2","3","2","48","57","110","141","359","229","C0002171"
"2","5","7","53","51","119","25","40","186","C0002171"
"2","5","4","68","96","326","427","548","672","C0002171"
"2","5","5","53","51","342","40","78","178","C0002312"
"2","5","7","34","52","216","395","549","116","C0002312"
"2","3","5","35","41","118","155","287","116","C0002312"
"2","3","5","27","51","335","444","560","373","C0002382"
"2","5","7","41","219","339","156","568","697","C0002382"
"2","5","7","53","51","342","454","573","492","C0002418"
"2","3","6","63","45","160","362","177","673","C0002418"
"2","5","7","27","36","150","341","223","628","C0002418"
"2","3","2","74","205","191","396","408","257","C0002418"
"2","3","2","103","189","303","29","475","467","C0002418"
"2","5","7","53","51","342","454","573","492","C0002418"
"2","5","4","68","96","326","427","548","672","C0002418"
"2","5","7","53","184","335","259","560","373","C0002418"
"2","3","5","80","137","44","21","451","316","C0002418"
"2","3","2","61","77","142","176","235","317","C0002418"
"2","5","7","53","51","342","454","573","492","C0002418"
"2","3","12","76","153","40","38","54","75","C0002418"
"2","5","7","60","54","326","141","359","462","C0002418"
"2","3","3","19","221","321","428","541","667","C0002418"
"2","3","3","19","221","321","428","541","667","C0002418"
"2","3","5","60","54","184","30","544","669","C0002418"
"2","5","7","53","51","342","454","573","492","C0002418"
"2","3","12","76","153","40","38","54","75","C0002418"
"2","3","5","80","81","339","156","568","605","C0002418"
"2","3","3","68","221","321","428","560","667","C0002448"
"2","5","7","53","14","20","34","540","68","C0002448"
"2","5","7","53","51","342","454","573","492","C0002452"
"2","5","7","53","51","342","454","573","492","C0002452"
"2","5","7","53","51","342","454","573","492","C0002452"
"2","3","5","42","81","296","399","201","274","C0002452"
"2","5","7","53","51","342","454","573","492","C0002452"
"2","5","7","53","51","342","454","573","492","C0002452"
"2","5","7","53","51","342","454","573","492","C0002452"
"2","5","7","53","51","342","454","573","492","C0002452"
"2","5","7","53","51","342","454","573","492","C0002452"
"2","3","3","19","221","321","428","541","667","C0002452"
"2","5","7","68","51","119","395","549","674","C0002452"
"2","5","7","53","51","342","454","573","492","C0002452"
"2","3","12","76","153","40","38","54","75","C0002452"
"2","3","5","43","161","305","409","208","482","C0002452"
"2","3","5","79","98","256","335","425","540","C0002453"
"2","3","5","79","159","256","350","27","44","C0002453"
"2","3","5","91","214","271","372","471","586","C0002453"
"2","5","7","53","51","119","395","549","674","C0002453"
"2","5","12","19","31","1","426","55","78","C0002453"
"2","5","4","68","96","326","427","548","672","C0002453"
"2","3","2","101","103","177","225","271","356","C0002514"
"2","3","2","67","92","293","229","381","496","C0002514"
"2","3","2","19","31","1","426","55","78","C0002514"
"2","3","2","48","170","152","119","252","154","C0002514"
"2","3","5","80","81","44","208","81","108","C0002514"
"2","3","2","83","171","97","381","478","329","C0002514"
"2","3","2","110","85","237","433","547","671","C0002514"
"2","3","7","34","52","216","395","549","674","C0002514"
"2","3","2","110","85","237","433","547","671","C0002514"
"2","3","12","19","31","261","116","1","664","C0002514"
"2","3","5","80","81","105","426","129","690","C0002514"
"2","3","5","80","81","105","426","129","2","C0002514"
"2","3","8","45","94","199","240","415","666","C0002514"
"2","5","4","68","96","326","427","548","672","C0002622"
"2","3","2","110","85","52","57","86","119","C0002622"
"2","3","2","68","96","326","427","548","672","C0002622"
"2","5","4","68","96","326","427","548","672","C0002622"
"2","3","12","53","51","119","156","489","416","C0002622"
"2","5","4","68","96","326","427","548","672","C0002622"
"2","5","4","68","96","326","427","548","672","C0002622"
"2","5","4","68","96","326","427","548","672","C0002622"
"2","5","7","60","54","24","30","46","72","C0002622"
"2","5","4","68","96","326","427","548","672","C0002622"
"2","5","7","53","14","20","25","40","186","C0002622"
"2","5","7","53","14","20","25","40","186","C0002622"
"2","5","7","53","51","342","454","573","416","C0002622"
"2","5","4","68","96","326","427","548","672","C0002622"
"2","5","4","68","96","326","188","145","193","C0002622"
"2","5","4","68","96","326","427","548","672","C0002622"
"2","5","4","68","96","326","427","548","672","C0002622"
"2","3","5","85","143","286","51","488","389","C0002726"
"2","5","7","53","51","342","454","573","492","C0002726"
"2","3","12","41","219","339","156","568","697","C0002726"
"2","5","7","34","52","216","395","549","667","C0002726"
"2","3","12","19","31","261","116","1","86","C0002726"
"2","5","7","34","52","216","395","549","674","C0002726"
"2","5","7","53","51","119","25","549","416","C0002726"
"2","3","12","41","219","339","156","568","697","C0002726"
"2","5","4","68","96","326","188","145","193","C0002726"
"2","1","6","11","142","193","306","390","158","C0002768"
"2","5","8","63","36","166","341","390","158","C0002768"
"2","5","8","63","36","166","341","390","158","C0002768"
"2","5","8","63","36","166","341","390","158","C0002768"
"2","5","7","60","54","24","30","46","72","C0002768"
"2","3","2","22","18","266","202","252","252","C0002768"
"2","3","5","80","81","189","182","509","409","C0002792"
"2","3","12","41","219","339","156","568","697","C0002792"
"2","5","4","68","96","326","427","548","672","C0002792"
"2","5","4","68","96","326","427","548","672","C0002792"
"2","3","5","35","41","77","40","370","303","C0002793"
"2","3","12","41","116","276","91","433","605","C0002793"
"2","5","7","53","51","119","395","549","674","C0002874"
"2","5","7","53","51","119","25","489","416","C0002874"
"2","3","2","110","85","237","433","547","671","C0002874"
"2","3","12","19","31","1","426","1","78","C0002874"
"2","3","12","19","31","1","426","55","78","C0002874"
"2","3","3","19","221","321","428","541","667","C0002874"
"2","3","2","110","85","237","433","547","671","C0002874"
"2","3","2","110","85","237","433","547","671","C0002874"
"2","5","7","53","14","20","25","40","186","C0002874"
"2","5","7","53","184","119","156","287","116","C0002874"
"2","3","12","19","31","261","116","1","86","C0002874"
"2","3","5","80","81","296","51","488","102","C0002876"
"2","3","12","19","31","261","116","1","86","C0002876"
"2","3","2","110","85","237","433","547","671","C0002876"
"2","3","12","19","31","1","426","55","78","C0002876"
"2","3","7","60","54","24","30","46","72","C0002876"
"2","3","5","85","143","286","316","400","102","C0002880"
"2","3","5","33","21","47","56","80","199","C0002880"
"2","3","12","41","116","268","434","468","213","C0002880"
"2","5","7","53","14","20","25","40","186","C0002880"
"2","5","8","63","45","23","103","464","187","C0002880"
"2","3","6","48","94","279","347","330","304","C0002880"
"2","3","7","34","52","216","395","549","150","C0002880"
"2","3","12","19","31","261","116","1","86","C0002880"
"2","3","12","41","116","268","434","568","605","C0002880"
"2","3","12","41","219","339","156","568","697","C0002880"
"2","5","7","53","51","119","25","40","186","C0002880"
"2","3","7","41","219","339","156","568","697","C0002880"
"2","5","7","53","219","339","25","489","697","C0002880"
"2","3","12","53","184","119","156","287","116","C0002880"
"2","3","12","19","31","1","426","129","131","C0002880"
"2","3","2","69","83","101","126","487","116","C0002881"
"2","3","2","69","83","101","126","487","116","C0002881"
"2","3","5","17","24","261","116","164","6","C0002881"
"2","3","5","80","81","296","62","94","150","C0002882"
"2","3","2","48","57","110","141","359","383","C0002882"
"2","3","2","90","167","266","367","500","577","C0002882"
"2","5","7","53","51","342","454","573","669","C0002884"
"2","3","3","19","221","321","428","541","667","C0002884"
"2","5","7","48","51","105","139","186","245","C0002886"
"2","3","2","67","92","293","55","487","116","C0002886"
"2","3","12","19","31","1","155","287","116","C0002886"
"2","3","2","110","85","237","433","547","671","C0002886"
"2","3","2","110","85","237","433","547","671","C0002886"
"2","3","2","110","85","237","433","547","671","C0002886"
"2","3","2","110","85","237","433","547","671","C0002886"
"2","3","2","110","85","237","433","547","671","C0002886"
"2","3","2","110","85","237","433","547","671","C0002886"
"2","3","2","110","85","237","433","547","154","C0002886"
"2","3","2","110","85","237","433","547","671","C0002886"
"2","3","2","110","85","237","433","547","671","C0002886"
"2","3","2","110","85","237","433","547","671","C0002886"
"2","3","2","110","85","237","433","547","671","C0002886"
"2","3","2","110","85","237","433","547","671","C0002886"
"2","3","2","110","85","237","433","547","671","C0002886"
"2","3","2","110","85","237","433","547","671","C0002886"
"2","5","7","48","51","105","139","186","245","C0002888"
"2","5","7","34","52","216","395","549","674","C0002888"
"2","3","7","48","51","105","139","186","245","C0002888"
"2","5","7","48","51","105","139","186","245","C0002888"
"2","3","5","80","81","166","454","76","106","C0002888"
"2","5","7","53","51","105","139","186","245","C0002888"
"2","3","5","63","63","120","197","203","350","C0002888"
"2","3","2","76","153","40","38","54","48","C0002888"
"2","3","4","68","96","326","427","341","150","C0002888"
"2","3","2","65","196","310","127","527","648","C0002888"
"2","3","7","48","81","105","139","186","245","C0002888"
"2","5","7","53","51","342","454","573","492","C0002888"
"2","3","2","41","137","44","208","81","108","C0002888"
"2","3","2","48","182","50","119","186","245","C0002888"
"2","3","2","15","85","105","139","186","245","C0002888"
"2","3","2","76","153","40","116","54","75","C0002888"
"2","3","12","19","31","1","426","55","78","C0002893"
"2","5","7","53","51","342","454","573","492","C0002893"
"2","3","7","53","51","342","454","573","492","C0002893"
"2","5","7","53","51","342","454","573","492","C0002893"
"2","3","12","41","219","339","156","568","697","C0002893"
"2","3","5","91","175","119","167","224","301","C0002893"
"2","5","4","68","96","326","427","548","672","C0002895"
"2","5","7","34","52","216","395","549","116","C0002895"
"2","3","2","48","170","50","119","444","556","C0002895"
"2","3","2","68","119","109","266","182","182","C0002895"
"2","5","7","34","52","216","395","549","674","C0002895"
"2","3","12","41","219","339","156","568","697","C0002895"
"2","3","12","41","219","339","347","206","627","C0002895"
"2","5","7","53","51","119","454","287","116","C0002895"
"2","3","2","110","85","118","155","287","116","C0002896"
"2","3","2","67","92","293","55","487","116","C0002896"
"2","3","2","48","170","50","119","100","556","C0002896"
"2","3","12","22","33","323","66","101","664","C0002896"
"2","3","2","65","196","310","127","527","648","C0002896"
"2","3","2","48","170","279","423","274","154","C0002896"
"2","3","2","110","85","67","76","252","154","C0002896"
