gene	whole_gene	NEW0937	NEW0934	NEW0933	NEW0932	NEW0930	NEW0929	NEW0928	NEW0927	NEW0907	NEW0923	NEW0936	NEW0935	NEW0909	NEW0908	NEW0922	NEW0920	NEW0919	NEW0918	NEW0931	NEW0921
ENSG00000204403	FALSE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
ENSG00000204941	FALSE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
ENSG00000215356	FALSE	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2
ENSG00000215547	TRUE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2
ENSG00000215915	TRUE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2
ENSG00000219492	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000221947	FALSE	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000223569	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000227140	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000227551	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000228856	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000229314	TRUE	2	2	2	2	2	6	6	2	2	2	2	2	2	2	6	2	4	3	2	2
ENSG00000229579	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000229924	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000230430	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000231051	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000231396	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000231637	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000232264	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000232399	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000233136	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000235780	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000244020	TRUE	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
ENSG00000248920	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000248933	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000249104	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000249811	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000250745	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000250844	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000250913	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000253626	TRUE	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000255974	FALSE	1	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	1	2
ENSG00000262628	TRUE	2	2	3	2	2	2	3	2	3	3	2	3	2	2	3	2	2	2	2	2
ENSG00000262628	TRUE	3	3	2	3	4	3	2	3	2	2	3	2	3	3	2	3	2	2	3	3
ENSG00000268172	TRUE	3	3	2	2	2	3	3	3	3	3	3	3	3	2	3	3	3	3	3	2
ENSG00000268172	TRUE	2	2	4	4	4	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2
