Var1,Var2,value
CDH3,RAD51AP1,8
FAAP100,RAD51AP1,1
FCGBP,RAD51AP1,4
PPFIBP2,RAD51AP1,8
RPTN,RAD51AP1,8
USP8,RAD51AP1,6
AGRN,RAD51AP1,8
ALG14,RAD51AP1,7
ALG2,RAD51AP1,7
CHAT,RAD51AP1,7
CHRNA1,RAD51AP1,8
CHRNB1,RAD51AP1,8
CHRNE,RAD51AP1,8
CHRNG,RAD51AP1,8
COL13A1,RAD51AP1,8
COLQ,RAD51AP1,8
DOK7,RAD51AP1,8
DPAGT1,RAD51AP1,7
GFPT1,RAD51AP1,7
GMPPB,RAD51AP1,7
LAMA5,RAD51AP1,8
LAMB2,RAD51AP1,8
LRP4,RAD51AP1,8
MUSK,RAD51AP1,8
MYO9A,RAD51AP1,8
PLEC,RAD51AP1,8
PREPL,RAD51AP1,7
RAPSN,RAD51AP1,8
RPH3A,RAD51AP1,8
SCN4A,RAD51AP1,8
SLC18A3,RAD51AP1,7
SLC25A1,RAD51AP1,7
SLC5A7,RAD51AP1,8
SYT2,RAD51AP1,8
UNC13B,RAD51AP1,8
VAMP1,RAD51AP1,8
USH2A,RAD51AP1,8
UBE2D1,RAD51AP1,6
ATAD3B,RAD51AP1,8
TPCN2,RAD51AP1,8
AKNAD1,RAD51AP1,8
CLCNKB,RAD51AP1,8
CASP12,RAD51AP1,6
PSG5,RAD51AP1,8
DEFB115,RAD51AP1,8
ATAD3C,RAD51AP1,7
KRT79,RP1,8
MICALL2,RP1,5
NPHP3,RP1,8
DNAH7,RP1,8
FHOD3,RP1,7
LEFTY2,RP1,6
NCKAP5L,RP1,8
PRRT3,RP1,6
TOR2A,RP1,8
CASP5,RP1,8
DMXL2,RP1,5
KIAA1109,RP1,8
LILRA1,RP1,6
LOXL3,RP1,6
NAT8B,RP1,8
UNC13C,RP1,5
ZP4,RP1,6
ABCB5,RP1,6
AMPD1,RP1,8
ATP6V0A4,RP1,8
CFHR5,RP1,7
LBP,RP1,6
OTOP1,RP1,8
PLB1,RP1,8
SLC28A1,RP1,7
SLC44A4,RP1,8
TNXB,RP1,6
VWA5B2,RP1,5
ZNF778,RP1,8
CDH23,RP1,6
CES5A,RP1,8
CHGB,RP1,6
FGL1,RP1,8
MCM8,RP1,8
MYH15,RP1,7
SELENOO,RP1,8
ZNF273,RP1,8
BAIAP3,RP1,5
FHAD1,RP1,8
HEATR1,RP1,8
OR10G9,RP1,8
DNAAF1,RP1,8
DNAH17,RP1,6
DNAH3,RP1,8
ZC3H3,RP1,8
ACOT2,RP1,8
CDH3,RP1,6
FAAP100,RP1,8
FCGBP,RP1,8
PPFIBP2,RP1,6
RPTN,RP1,8
ALG14,RP1,8
ALG2,RP1,8
CHRNA1,RP1,7
CHRNB1,RP1,7
CHRNE,RP1,7
COL13A1,RP1,6
COLQ,RP1,7
DOK7,RP1,5
DPAGT1,RP1,8
GMPPB,RP1,8
LAMB2,RP1,6
LRP4,RP1,6
MYO9A,RP1,5
RAPSN,RP1,6
RPH3A,RP1,5
SCN4A,RP1,7
SLC18A3,RP1,6
SLC25A1,RP1,8
SLC5A7,RP1,7
SYT2,RP1,5
UNC13B,RP1,5
TPCN2,RP1,7
AKNAD1,RP1,6
CLCNKB,RP1,7
