Var1,Var2,value
LILRA1,ZP4,5
LOXL3,ZP4,2
LRP2,ZP4,6
NAT8B,ZP4,8
UNC13C,ZP4,6
AGRN,ABCB5,8
DIP2A,ABCB5,8
KIF13B,ABCB5,7
KRT79,ABCB5,8
MICALL2,ABCB5,8
NPHP3,ABCB5,7
RAD51AP1,ABCB5,6
RP1,ABCB5,6
DNAH7,ABCB5,6
FHOD3,ABCB5,4
HSPG2,ABCB5,8
LEFTY2,ABCB5,8
NCKAP5L,ABCB5,6
NOTCH4,ABCB5,8
PRRT3,ABCB5,8
PTPN14,ABCB5,8
SMTN,ABCB5,8
SRMS,ABCB5,8
TOR2A,ABCB5,7
C1orf94,ABCB5,7
CASP5,ABCB5,5
DMXL2,ABCB5,8
KIAA1109,ABCB5,5
LILRA1,ABCB5,8
LOXL3,ABCB5,8
LRP2,ABCB5,8
NAT8B,ABCB5,6
UNC13C,ABCB5,8
ZP4,ABCB5,8
AGRN,AMPD1,8
DIP2A,AMPD1,8
KIF13B,AMPD1,7
KRT79,AMPD1,8
MICALL2,AMPD1,8
NPHP3,AMPD1,7
RAD51AP1,AMPD1,7
RP1,AMPD1,8
DNAH7,AMPD1,7
FHOD3,AMPD1,7
HSPG2,AMPD1,8
LEFTY2,AMPD1,8
NCKAP5L,AMPD1,7
NOTCH4,AMPD1,8
PRRT3,AMPD1,8
PTPN14,AMPD1,8
SMTN,AMPD1,8
SRMS,AMPD1,8
TOR2A,AMPD1,7
C1orf94,AMPD1,7
CASP5,AMPD1,7
DMXL2,AMPD1,8
KIAA1109,AMPD1,7
LILRA1,AMPD1,8
LOXL3,AMPD1,8
LRP2,AMPD1,8
NAT8B,AMPD1,7
UNC13C,AMPD1,8
ZP4,AMPD1,8
ABCB5,AMPD1,7
AGRN,ATP6V0A4,8
DIP2A,ATP6V0A4,8
KIF13B,ATP6V0A4,7
KRT79,ATP6V0A4,8
MICALL2,ATP6V0A4,8
NPHP3,ATP6V0A4,7
RAD51AP1,ATP6V0A4,7
RP1,ATP6V0A4,8
DNAH7,ATP6V0A4,7
FHOD3,ATP6V0A4,7
HSPG2,ATP6V0A4,8
LEFTY2,ATP6V0A4,8
NCKAP5L,ATP6V0A4,7
NOTCH4,ATP6V0A4,8
PRRT3,ATP6V0A4,8
PTPN14,ATP6V0A4,8
SMTN,ATP6V0A4,8
SRMS,ATP6V0A4,8
TOR2A,ATP6V0A4,7
C1orf94,ATP6V0A4,7
CASP5,ATP6V0A4,7
DMXL2,ATP6V0A4,8
KIAA1109,ATP6V0A4,7
LILRA1,ATP6V0A4,8
LOXL3,ATP6V0A4,8
LRP2,ATP6V0A4,8
NAT8B,ATP6V0A4,7
UNC13C,ATP6V0A4,8
ZP4,ATP6V0A4,8
ABCB5,ATP6V0A4,7
AMPD1,ATP6V0A4,6
AGRN,CFHR5,5
DIP2A,CFHR5,5
KIF13B,CFHR5,8
KRT79,CFHR5,7
MICALL2,CFHR5,7
NPHP3,CFHR5,7
RAD51AP1,CFHR5,8
RP1,CFHR5,7
DNAH7,CFHR5,8
FHOD3,CFHR5,8
HSPG2,CFHR5,5
LEFTY2,CFHR5,5
NCKAP5L,CFHR5,8
NOTCH4,CFHR5,5
PRRT3,CFHR5,7
PTPN14,CFHR5,7
SMTN,CFHR5,7
SRMS,CFHR5,6
TOR2A,CFHR5,8
C1orf94,CFHR5,7
CASP5,CFHR5,8
DMXL2,CFHR5,7
KIAA1109,CFHR5,8
LILRA1,CFHR5,2
LOXL3,CFHR5,5
LRP2,CFHR5,7
NAT8B,CFHR5,8
UNC13C,CFHR5,7
ZP4,CFHR5,6
ABCB5,CFHR5,8
AMPD1,CFHR5,8
ATP6V0A4,CFHR5,8
AGRN,LBP,4
DIP2A,LBP,6
KIF13B,LBP,7
KRT79,LBP,8
MICALL2,LBP,6
NPHP3,LBP,8
RAD51AP1,LBP,8
RP1,LBP,6
DNAH7,LBP,8
FHOD3,LBP,8
HSPG2,LBP,4
LEFTY2,LBP,4
NCKAP5L,LBP,8
NOTCH4,LBP,4
PRRT3,LBP,6
PTPN14,LBP,6
SMTN,LBP,7
SRMS,LBP,4
TOR2A,LBP,8
C1orf94,LBP,8
CASP5,LBP,8
DMXL2,LBP,6
KIAA1109,LBP,8
LILRA1,LBP,3
LOXL3,LBP,4
LRP2,LBP,6
NAT8B,LBP,8
UNC13C,LBP,6
ZP4,LBP,5
ABCB5,LBP,8
AMPD1,LBP,8
ATP6V0A4,LBP,8
CFHR5,LBP,4
AGRN,MYO10,6
DIP2A,MYO10,7
KIF13B,MYO10,2
KRT79,MYO10,8
MICALL2,MYO10,6
NPHP3,MYO10,7
RAD51AP1,MYO10,7
RP1,MYO10,5
DNAH7,MYO10,3
FHOD3,MYO10,8
HSPG2,MYO10,6
LEFTY2,MYO10,6
NCKAP5L,MYO10,5
NOTCH4,MYO10,6
PRRT3,MYO10,6
PTPN14,MYO10,6
SMTN,MYO10,7
SRMS,MYO10,6
TOR2A,MYO10,8
C1orf94,MYO10,8
CASP5,MYO10,8
DMXL2,MYO10,6
KIAA1109,MYO10,8
LILRA1,MYO10,6
LOXL3,MYO10,6
LRP2,MYO10,6
NAT8B,MYO10,8
UNC13C,MYO10,6
ZP4,MYO10,6
ABCB5,MYO10,8
AMPD1,MYO10,8
ATP6V0A4,MYO10,8
CFHR5,MYO10,7
LBP,MYO10,6
AGRN,OTOP1,8
DIP2A,OTOP1,8
KIF13B,OTOP1,7
KRT79,OTOP1,8
MICALL2,OTOP1,8
NPHP3,OTOP1,7
RAD51AP1,OTOP1,7
RP1,OTOP1,8
DNAH7,OTOP1,7
FHOD3,OTOP1,7
HSPG2,OTOP1,8
LEFTY2,OTOP1,8
NCKAP5L,OTOP1,7
NOTCH4,OTOP1,6
PRRT3,OTOP1,8
PTPN14,OTOP1,8
SMTN,OTOP1,8
SRMS,OTOP1,8
TOR2A,OTOP1,6
C1orf94,OTOP1,7
CASP5,OTOP1,7
DMXL2,OTOP1,8
KIAA1109,OTOP1,7
LILRA1,OTOP1,8
LOXL3,OTOP1,8
LRP2,OTOP1,8
NAT8B,OTOP1,6
UNC13C,OTOP1,8
ZP4,OTOP1,8
ABCB5,OTOP1,7
AMPD1,OTOP1,7
ATP6V0A4,OTOP1,7
CFHR5,OTOP1,8
LBP,OTOP1,8
MYO10,OTOP1,8
AGRN,PLB1,8
DIP2A,PLB1,8
KIF13B,PLB1,7
KRT79,PLB1,8
MICALL2,PLB1,8
NPHP3,PLB1,7
RAD51AP1,PLB1,7
RP1,PLB1,8
DNAH7,PLB1,7
FHOD3,PLB1,7
HSPG2,PLB1,8
LEFTY2,PLB1,8
NCKAP5L,PLB1,7
NOTCH4,PLB1,8
PRRT3,PLB1,8
PTPN14,PLB1,8
SMTN,PLB1,8
SRMS,PLB1,8
TOR2A,PLB1,7
C1orf94,PLB1,7
CASP5,PLB1,7
DMXL2,PLB1,8
KIAA1109,PLB1,7
LILRA1,PLB1,8
LOXL3,PLB1,8
LRP2,PLB1,8
NAT8B,PLB1,7
UNC13C,PLB1,8
ZP4,PLB1,8
ABCB5,PLB1,7
AMPD1,PLB1,6
ATP6V0A4,PLB1,6
CFHR5,PLB1,8
LBP,PLB1,8
MYO10,PLB1,8
OTOP1,PLB1,7
AGRN,RPL3L,8
DIP2A,RPL3L,8
KIF13B,RPL3L,7
KRT79,RPL3L,8
MICALL2,RPL3L,8
NPHP3,RPL3L,7
RAD51AP1,RPL3L,7
RP1,RPL3L,8
DNAH7,RPL3L,7
FHOD3,RPL3L,7
HSPG2,RPL3L,8
LEFTY2,RPL3L,8
NCKAP5L,RPL3L,7
NOTCH4,RPL3L,8
PRRT3,RPL3L,8
PTPN14,RPL3L,8
SMTN,RPL3L,8
SRMS,RPL3L,8
TOR2A,RPL3L,7
C1orf94,RPL3L,7
CASP5,RPL3L,7
DMXL2,RPL3L,8
KIAA1109,RPL3L,7
LILRA1,RPL3L,8
LOXL3,RPL3L,8
LRP2,RPL3L,8
NAT8B,RPL3L,7
UNC13C,RPL3L,8
ZP4,RPL3L,8
ABCB5,RPL3L,7
AMPD1,RPL3L,7
ATP6V0A4,RPL3L,7
CFHR5,RPL3L,8
LBP,RPL3L,8
MYO10,RPL3L,8
OTOP1,RPL3L,7
PLB1,RPL3L,7
AGRN,SLC28A1,7
DIP2A,SLC28A1,7
KIF13B,SLC28A1,8
KRT79,SLC28A1,8
MICALL2,SLC28A1,7
NPHP3,SLC28A1,8
RAD51AP1,SLC28A1,8
RP1,SLC28A1,7
DNAH7,SLC28A1,8
FHOD3,SLC28A1,8
HSPG2,SLC28A1,7
LEFTY2,SLC28A1,7
NCKAP5L,SLC28A1,8
NOTCH4,SLC28A1,7
PRRT3,SLC28A1,1
PTPN14,SLC28A1,7
SMTN,SLC28A1,6
SRMS,SLC28A1,7
TOR2A,SLC28A1,8
C1orf94,SLC28A1,8
CASP5,SLC28A1,8
DMXL2,SLC28A1,7
KIAA1109,SLC28A1,8
LILRA1,SLC28A1,7
LOXL3,SLC28A1,7
LRP2,SLC28A1,7
NAT8B,SLC28A1,8
UNC13C,SLC28A1,7
ZP4,SLC28A1,7
ABCB5,SLC28A1,8
AMPD1,SLC28A1,8
ATP6V0A4,SLC28A1,8
CFHR5,SLC28A1,7
LBP,SLC28A1,7
MYO10,SLC28A1,7
OTOP1,SLC28A1,8
PLB1,SLC28A1,8
RPL3L,SLC28A1,8
AGRN,SLC44A4,8
DIP2A,SLC44A4,8
KIF13B,SLC44A4,7
KRT79,SLC44A4,8
MICALL2,SLC44A4,8
NPHP3,SLC44A4,7
RAD51AP1,SLC44A4,7
RP1,SLC44A4,8
DNAH7,SLC44A4,7
FHOD3,SLC44A4,7
HSPG2,SLC44A4,8
LEFTY2,SLC44A4,8
NCKAP5L,SLC44A4,7
NOTCH4,SLC44A4,8
PRRT3,SLC44A4,8
PTPN14,SLC44A4,8
SMTN,SLC44A4,8
SRMS,SLC44A4,8
TOR2A,SLC44A4,7
C1orf94,SLC44A4,7
CASP5,SLC44A4,7
DMXL2,SLC44A4,8
KIAA1109,SLC44A4,7
LILRA1,SLC44A4,8
LOXL3,SLC44A4,8
LRP2,SLC44A4,8
NAT8B,SLC44A4,7
UNC13C,SLC44A4,8
ZP4,SLC44A4,8
